"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","302","Update course","LMS service","2026-08-28","passed","2026-08-28","Update entity","Courses","",""
"","286","Get exercises","LMS service","2026-08-28","passed","2026-08-28","Get entities","Exercises","",""
"","13","Get user me","LMS service","2026-08-28","passed","2026-08-28","Get entity","Users","",""
"","14","Get file","LMS service","2026-08-28","passed","2026-08-28","Get entity","Files","",""
"","24","Get exercise","LMS service","2026-08-28","passed","2026-08-28","Get entity","Exercises","",""
"","271","Create file with empty filename","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","290","Login with correct email and password","LMS service","2026-08-28","passed","2026-08-28","Login","Authentication","",""
"","28","Create course","LMS service","2026-08-28","passed","2026-08-28","Create entity","Courses","",""
"","266","Get file with incorrect file id","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
"","525","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","558","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","22","Create file","LMS service","2026-08-28","passed","2026-08-28","Create entity","Files","",""
"","535","Create user","LMS service","2026-08-28","passed","2026-08-28","Create entity","Users","",""
"","297","Get courses","LMS service","2026-08-28","passed","2026-08-28","Get entities","Courses","",""
"","296","Create exercise","LMS service","2026-08-28","passed","2026-08-28","Create entity","Exercises","",""
"","21","Delete file","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Files","",""
"","20","Delete exercise","LMS service","2026-08-28","passed","2026-08-28","Delete entity","Exercises","",""
"","0","Update exercise","LMS service","2026-08-28","broken","2026-08-28","Update entity","Exercises","",""
"","22","Create file with empty directory","LMS service","2026-08-28","passed","2026-08-28","Validate entity","Files","",""
